Pulse ||34810.9618695775||[71.0, 507.0, 876.0]
Pulse ||34810.9658693||[71.0, 522.0, 876.0]
Pulse ||34810.96986925376||[71.0, 536.0, 876.0]
Pulse ||34810.97563060778||[67.0, 547.0, 904.0]
Pulse ||34810.98038546003||[67.0, 555.0, 904.0]
Pulse ||34810.98442542393||[67.0, 566.0, 904.0]
Pulse ||34810.988423620205||[67.0, 572.0, 904.0]
Pulse ||34810.99240456362||[67.0, 572.0, 904.0]
Pulse ||34810.99695890892||[67.0, 583.0, 904.0]
Pulse ||34811.00132815083||[67.0, 592.0, 904.0]
Pulse ||34811.00557964352||[67.0, 598.0, 904.0]
Pulse ||34811.0094812265||[67.0, 601.0, 904.0]
Pulse ||34811.0133978303||[67.0, 604.0, 904.0]
Pulse ||34811.017326258516||[67.0, 608.0, 904.0]
Pulse ||34811.021264161885||[67.0, 601.0, 904.0]
Pulse ||34811.025209775034||[67.0, 604.0, 904.0]
Pulse ||34811.02906752329||[67.0, 607.0, 904.0]
Pulse ||34811.03294785868||[67.0, 610.0, 904.0]
Pulse ||34811.03684625113||[67.0, 607.0, 904.0]
Pulse ||34811.040759250995||[67.0, 605.0, 904.0]
Pulse ||34811.0445339102||[67.0, 603.0, 904.0]
Pulse ||34811.0483412207||[67.0, 593.0, 904.0]
Pulse ||34811.052175469034||[67.0, 593.0, 904.0]
Pulse ||34811.056337887036||[67.0, 596.0, 904.0]
Pulse ||34811.06047802406||[67.0, 593.0, 904.0]
Pulse ||34811.064145882425||[67.0, 587.0, 904.0]
Pulse ||34811.067854465866||[67.0, 584.0, 904.0]
Pulse ||34811.07159780275||[67.0, 582.0, 904.0]
Pulse ||34811.075574870374||[67.0, 571.0, 904.0]
Pulse ||34811.07955466735||[67.0, 550.0, 904.0]
Pulse ||34811.08327229802||[67.0, 553.0, 904.0]
Pulse ||34811.08701996575||[67.0, 554.0, 904.0]
Pulse ||34811.09079387988||[67.0, 552.0, 904.0]
Pulse ||34811.09471539597||[67.0, 552.0, 904.0]
Pulse ||34811.09864508281||[67.0, 551.0, 904.0]
Pulse ||34811.10284061002||[67.0, 544.0, 904.0]
Pulse ||34811.10701872096||[67.0, 548.0, 904.0]
Pulse ||34811.111156134626||[67.0, 550.0, 904.0]
Pulse ||34811.115281862585||[67.0, 547.0, 904.0]
Pulse ||34811.11939711222||[67.0, 546.0, 904.0]
Pulse ||34811.12341159505||[67.0, 544.0, 904.0]
Pulse ||34811.12742501361||[67.0, 543.0, 904.0]
Pulse ||34811.13143746711||[67.0, 535.0, 904.0]
Pulse ||34811.13533520413||[67.0, 540.0, 904.0]
Pulse ||34811.13924079194||[67.0, 516.0, 904.0]
Pulse ||34811.143153512094||[67.0, 494.0, 904.0]
Pulse ||34811.147301674966||[67.0, 496.0, 904.0]
Pulse ||34811.15143942481||[67.0, 501.0, 904.0]
Pulse ||34811.155410475796||[67.0, 474.0, 904.0]
Pulse ||34811.15938357041||[67.0, 484.0, 904.0]
Pulse ||34811.16335853835||[67.0, 495.0, 904.0]
Pulse ||34811.16746580486||[67.0, 502.0, 904.0]
Pulse ||34811.171566198485||[67.0, 504.0, 904.0]
Pulse ||34811.17547408494||[67.0, 509.0, 904.0]
Pulse ||34811.179387738615||[67.0, 513.0, 904.0]
Pulse ||34811.18330672559||[67.0, 505.0, 904.0]
Pulse ||34811.187382126205||[67.0, 510.0, 904.0]
Pulse ||34811.1914531277||[67.0, 515.0, 904.0]
Pulse ||34811.19534853283||[67.0, 517.0, 904.0]
Pulse ||34811.19924996839||[67.0, 515.0, 904.0]
Pulse ||34811.20315701674||[67.0, 513.0, 904.0]
Pulse ||34811.20713317314||[67.0, 512.0, 904.0]
Pulse ||34811.21111071676||[67.0, 505.0, 904.0]
Pulse ||34811.2151598524||[67.0, 508.0, 904.0]
Pulse ||34811.219206470356||[67.0, 510.0, 904.0]
Pulse ||34811.2231202344||[67.0, 511.0, 904.0]
Pulse ||34811.22703849802||[67.0, 508.0, 904.0]
Pulse ||34811.23096098025||[67.0, 508.0, 904.0]
Pulse ||34811.235078093305||[67.0, 507.0, 904.0]
Pulse ||34811.23918953088||[67.0, 498.0, 904.0]
Pulse ||34811.243174605865||[67.0, 503.0, 904.0]
Pulse ||34811.247160451385||[67.0, 484.0, 904.0]
Pulse ||34811.25114702154||[67.0, 487.0, 904.0]
Pulse ||34811.25517893328||[67.0, 490.0, 904.0]
Pulse ||34811.259209431766||[67.0, 493.0, 904.0]
Pulse ||34811.263074951145||[67.0, 494.0, 904.0]
Pulse ||34811.26694654602||[67.0, 492.0, 904.0]
Pulse ||34811.270823885905||[67.0, 497.0, 904.0]
Pulse ||34811.274778337785||[67.0, 502.0, 904.0]
Pulse ||34811.278734840984||[67.0, 504.0, 904.0]
Pulse ||34811.28272968263||[67.0, 505.0, 904.0]
Pulse ||34811.28672483048||[67.0, 505.0, 904.0]
Pulse ||34811.290672711395||[67.0, 504.0, 904.0]
Pulse ||34811.29462282215||[67.0, 502.0, 904.0]
Pulse ||34811.29857504995||[67.0, 506.0, 904.0]
Pulse ||34811.302633491636||[67.0, 507.0, 904.0]
Pulse ||34811.306689701785||[67.0, 508.0, 904.0]
Pulse ||34811.31067465221||[67.0, 507.0, 904.0]
Pulse ||34811.31466026402||[67.0, 508.0, 904.0]
Pulse ||34811.31864650463||[67.0, 498.0, 904.0]
Pulse ||34811.32267920833||[67.0, 500.0, 904.0]
Pulse ||34811.3267107556||[67.0, 505.0, 904.0]
Pulse ||34811.3307641494||[67.0, 507.0, 904.0]
Pulse ||34811.33481564138||[67.0, 482.0, 904.0]
Pulse ||34811.33872637179||[67.0, 484.0, 904.0]
Pulse ||34811.34264037563||[67.0, 486.0, 904.0]
Pulse ||34811.346557508834||[67.0, 458.0, 904.0]
Pulse ||34811.35073979332||[67.0, 475.0, 904.0]
Pulse ||34811.35491576762||[67.0, 483.0, 904.0]
Pulse ||34811.359085698285||[67.0, 463.0, 904.0]
Pulse ||34811.36314652851||[67.0, 447.0, 904.0]
Pulse ||34811.36720531837||[67.0, 456.0, 904.0]
Pulse ||34811.37126215151||[67.0, 459.0, 904.0]
Pulse ||34811.375359120306||[67.0, 471.0, 904.0]
Pulse ||34811.379452900466||[67.0, 481.0, 904.0]
Pulse ||34811.3835560751||[67.0, 491.0, 904.0]
Pulse ||34811.38765590636||[67.0, 494.0, 904.0]
Pulse ||34811.391752525684||[67.0, 499.0, 904.0]
Pulse ||34811.395886679136||[67.0, 501.0, 904.0]
Pulse ||34811.40001658451||[67.0, 499.0, 904.0]
Pulse ||34811.40414240463||[67.0, 505.0, 904.0]
Pulse ||34811.408225720115||[67.0, 509.0, 904.0]
Pulse ||34811.41230643821||[67.0, 512.0, 904.0]
Pulse ||34811.41638465627||[67.0, 512.0, 904.0]
Pulse ||34811.420466295225||[67.0, 512.0, 904.0]
Pulse ||34811.42454544169||[67.0, 511.0, 904.0]
Pulse ||34811.42862218691||[67.0, 504.0, 904.0]
Pulse ||34811.432653914686||[67.0, 506.0, 904.0]
Pulse ||34811.4366846575||[67.0, 508.0, 904.0]
Pulse ||34811.44071445107||[67.0, 507.0, 904.0]
Pulse ||34811.44478156661||[67.0, 506.0, 904.0]
Pulse ||34811.44884671171||[67.0, 503.0, 904.0]
Pulse ||34811.45295224466||[67.0, 501.0, 904.0]
Pulse ||34811.45705475796||[67.0, 495.0, 904.0]
Pulse ||34811.46117742723||[67.0, 496.0, 904.0]
Pulse ||34811.465296643844||[67.0, 498.0, 904.0]
